Name,RCB,2020_IFC,2021_IFC,2022_IFC,2023_IFC,2024_IFC,2020_AFC,2021_AFC,2022_AFC,2023_AFC,2024_AFC,2021 Importfixed charge Changes (%),2022 Importfixed charge Changes (%),2023 Importfixed charge Changes (%),2024 Importfixed charge Changes (%)
Bombardier,2,972.26,688.61,16903.85,9565.7,15972.34,3558.4716,2513.4265,61699.0525,35010.462,58299.041,-29%,2355%,-43%,67%
Corby Steel Works,4,939.53,982.55,63750.06,39184.15,52465.58,3438.6798,3586.3075,232687.719,143413.989,191499.367,4%,6388%,-38%,34%
Derwent,1,2332.03,2373.86,2527.31,3964.38,2545.94,8535.2298,8664.589,9224.6815,14509.6308,9292.681,2%,6%,57%,-36%
GEC Alsthom,2,1647.28,1729.33,17981.67,10625.35,14144.21,6029.0448,6312.0545,65633.0955,38888.781,51626.3665,5%,940%,-41%,33%
St Gobain,1,653.92,683.1,8088.17,2175.18,1996.07,2393.3472,2493.315,29521.8205,7961.1588,7285.6555,4%,1084%,-73%,-8%
Toyota,4,10159.65,10467.15,73787.88,49052.79,77857.06,37184.319,38205.0975,269325.762,179533.2114,284178.269,3%,605%,-33%,58%
Petsoe Wind Farm,1,22.12,23.31,24.14,1503.4,1859.71,80.9592,85.0815,88.111,5502.444,6787.9415,5%,4%,6145%,23%
Castle Cement,4,3748.64,3936.72,66809.52,42192.04,54614.1,13720.0224,14369.028,243854.748,154422.8664,199341.465,5%,1597%,-37%,29%
Rugby Cement,4,1780.72,1876.11,64675.47,40093.96,54127.81,6517.4352,6847.8015,236065.4655,146743.8936,197566.5065,5%,3347%,-38%,35%
Goosy Lodge Power,1,28.35,29.18,27.41,1506.55,1862.76,103.761,106.507,100.0465,5513.973,6799.074,3%,-6%,5411%,23%
BAR Honda,2,699.63,731.49,16948.26,9609.36,12565.55,2560.6458,2669.9385,61861.149,35170.2576,45864.2575,4%,2217%,-43%,30%
Burton Wolds Wind Farm,1,6.18,6.4,6.01,1485.56,1838.52,22.6188,23.36,21.9365,5437.1496,6710.598,3%,-6%,24686%,23%
Network Rail Bretton,2,10175.29,10528.76,27094.73,19584.82,12565.55,37241.5614,38429.974,98895.7645,71680.4412,45864.2575,3%,157%,-28%,-36%
Rolls Royce Coventry,1,287.86,297.06,7688.38,1782.13,1961.05,1053.5676,1084.269,28062.587,6522.5958,7157.8325,3%,2488%,-77%,10%
Caterpillar,2,3528.94,3712.29,20035.3,12644.37,17254.85,12915.9204,13549.8585,73128.845,46278.3942,62980.2025,5%,440%,-37%,36%
Santander Carlton Park,1,287.86,297.06,7688.38,1782.13,1961.05,1053.5676,1084.269,28062.587,6522.5958,7157.8325,3%,2488%,-77%,10%
Brush,2,287.86,297.06,16498.35,9167.03,12530.53,1053.5676,1084.269,60218.9775,33551.3298,45736.4345,3%,5454%,-44%,36%
JCB,2,287.86,297.06,16498.35,9167.03,12530.53,1053.5676,1084.269,60218.9775,33551.3298,45736.4345,3%,5454%,-44%,36%
Cast Bar UK,2,354.02,366.43,16570.19,9237.66,12530.53,1295.7132,1337.4695,60481.1935,33809.8356,45736.4345,3%,4422%,-44%,35%
Bretby GP,1,221.7,227.7,7616.54,1711.5,1961.05,811.422,831.105,27800.371,6264.09,7157.8325,2%,3245%,-77%,14%
Holwell Works,2,287.86,297.06,16498.35,9167.03,12530.53,1053.5676,1084.269,60218.9775,33551.3298,45736.4345,3%,5454%,-44%,36%
Pedigree Petfoods,2,221.7,227.7,16426.51,9096.4,12530.53,811.422,831.105,59956.7615,33292.824,45736.4345,2%,7114%,-44%,37%
Alstom Wolverton,1,287.86,297.06,7688.38,1782.13,1961.05,1053.5676,1084.269,28062.587,6522.5958,7157.8325,3%,2488%,-77%,10%
Colworth Laboratory,1,287.86,297.06,7688.38,1782.13,1961.05,1053.5676,1084.269,28062.587,6522.5958,7157.8325,3%,2488%,-77%,10%
Boots Thane Road,2,598.33,616.45,16769.95,9432.66,12848.98,2189.8878,2250.0425,61210.3175,34523.5356,46898.777,3%,2620%,-44%,36%
QMC,2,87.58,88.53,16273.89,8946.15,12440.84,320.5428,323.1345,59399.6985,32742.909,45409.066,1%,18282%,-45%,39%
British Gypsum,2,3098.88,3246.02,19552.42,12169.63,16886.5,11341.9008,11847.973,71366.333,44540.8458,61635.725,4%,502%,-38%,38%
Melbourne STW,1,287.86,297.06,7688.38,1782.13,1961.05,1053.5676,1084.269,28062.587,6522.5958,7157.8325,3%,2488%,-77%,10%
Whetstone,1,287.86,297.06,7688.38,1782.13,1961.05,1053.5676,1084.269,28062.587,6522.5958,7157.8325,3%,2488%,-77%,10%
Holbrook Works,1,287.86,297.06,7688.38,1782.13,1961.05,1053.5676,1084.269,28062.587,6522.5958,7157.8325,3%,2488%,-77%,10%
Astrazeneca Charnwood,2,4115.67,4320.3,20664.99,13263.44,18057.2,15063.3522,15769.095,75427.2135,48544.1904,65908.78,5%,378%,-36%,36%
B&Q Manton,1,123.37,127.31,7512.58,1609.29,1887.5,451.5342,464.6815,27420.917,5890.0014,6889.375,3%,5801%,-79%,17%
Transco Churchover,3,287.86,297.06,23629.31,12751.89,34196.4,1053.5676,1084.269,86246.9815,46671.9174,124816.86,3%,7854%,-46%,167%
Alstom Rugby,1,2936.58,3074.19,10564.49,4609.77,6072.72,10747.8828,11220.7935,38560.3885,16871.7582,22165.428,4%,244%,-56%,31%
Swinford Wind Farm,1,67.85,71.76,74.32,1552.73,1933.33,248.331,261.924,271.268,5682.9918,7056.6545,5%,4%,1995%,24%
Yelvertoft Wind Farm,1,54.09,57.08,59.12,1537.78,1893.04,197.9694,208.342,215.788,5628.2748,6909.596,5%,4%,2508%,23%
Maxwell House Data Centre,4,8605.96,9072.91,72128.79,47421.66,52430.55,31497.8136,33116.1215,263270.0835,173563.2756,191371.5075,5%,695%,-34%,10%
Shacks Barn PV,1,10.83,11.34,11.75,1491.21,1840.54,39.6378,41.391,42.8875,5457.8286,6717.971,4%,4%,12626%,23%
Hatton Gas Compressor,4,23868.46,25183.67,88857.08,63868.01,53015.45,87358.5636,91920.3955,324328.342,233756.9166,193506.3925,5%,253%,-28%,-17%
Willoughby STOR generation,1,0.69,0.71,0.74,1480.39,1833.59,2.5254,2.5915,2.701,5418.2274,6692.6035,3%,4%,200501%,24%
Rolls Royce AB&E 33kV,4,82.7,84.19,62819.68,38269.44,52465.58,302.682,307.2935,229291.832,140066.1504,191499.367,2%,74517%,-39%,37%
The Grange Wind Farm,1,25.4,26.86,27.82,1507.01,1870.1,92.964,98.039,101.543,5515.6566,6825.865,5%,4%,5332%,24%
Clay Lake STOR,1,2.05,2.11,2.19,1481.81,1834.5,7.503,7.7015,7.9935,5423.4246,6695.925,3%,4%,67748%,23%
Balderton STOR,1,1.54,1.59,1.65,1481.28,1833.97,5.6364,5.8035,6.0225,5421.4848,6693.9905,3%,4%,89921%,23%
Lilbourne Wind Farm,1,11.49,12.06,12.49,1491.94,1905.61,42.0534,44.019,45.5885,5460.5004,6955.4765,5%,4%,11878%,27%
Chelvaston Renewable,1,111.58,117.6,121.79,1599.4,2013.58,408.3828,429.24,444.5335,5853.804,7349.567,5%,4%,1217%,26%
Low Farm Anaerobic Dig,1,20.68,21.05,21.8,1501.09,2220.43,75.6888,76.8325,79.57,5493.9894,8104.5695,2%,4%,6805%,48%
Rockingham,3,8259.97,8712.47,32344.67,21320.36,30538.98,30231.4902,31800.5155,118058.0455,78032.5176,111467.277,5%,271%,-34%,43%
Santander Carlton Park 132/11,3,155.54,158.33,23485.63,12610.63,52149.08,569.2764,577.9045,85722.5495,46154.9058,190344.142,2%,14733%,-46%,312%
Delphi Diesel,1,224.55,230.68,7619.64,1714.54,1961.05,821.853,841.982,27811.686,6275.2164,7157.8325,2%,3203%,-77%,14%
Ridge Solar Park,1,5.41,5.64,5.84,1485.41,1833.97,19.8006,20.586,21.316,5436.6006,6693.9905,4%,4%,25405%,23%
Newton Road PV,1,3.69,3.86,4,1483.59,1834.98,13.5054,14.089,14.6,5429.9394,6697.677,4%,4%,37091%,23%
Fiskerton Solar Farm,1,8.24,8.7,9.01,1488.52,1832.89,30.1584,31.755,32.8865,5447.9832,6690.0485,5%,4%,16466%,23%
Branston South PV Farm,1,3.93,4.14,4.28,1483.87,1836.79,14.3838,15.111,15.622,5430.9642,6704.2835,5%,3%,34665%,23%
Grendon/Huntingdon Interconnector,4,0,0,62732.49,38183.72,52301.85,0,0,228973.5885,139752.4152,190901.7525,0%,0%,-39%,37%
Churchover solar farm new,1,8.67,12.61,13.05,1492.26,1845.67,31.7322,46.0265,47.6325,5461.6716,6736.6955,45%,3%,11366%,23%
Long Itchington Northern Portal,2,11356.02,11569.02,28172.07,20644,31886.67,41563.0332,42226.923,102828.0555,75557.04,116386.3455,2%,144%,-27%,54%
Lyon Road Gas Gen,0,40.32,42.45,43.97,43.23,43.68,147.5712,154.9425,160.4905,158.2218,159.432,5%,4%,-1%,1%
Asher Lane 33kV STOR,0,41.49,38.92,40.3,44.6,3.03,151.8534,142.058,147.095,163.236,11.0595,-6%,4%,11%,-93%
Yew Tree Farm PV,0,5.39,5.65,5.85,5.75,1.35,19.7274,20.6225,21.3525,21.045,4.9275,5%,4%,-1%,-77%
Cobb Farm Egmanton PV,0,2.65,2.77,2.87,2.82,1.88,9.699,10.1105,10.4755,10.3212,6.862,4%,4%,-1%,-34%
Kelmarsh Wind Farm,0,140.32,148.44,153.73,151.14,186.46,513.5712,541.806,561.1145,553.1724,680.579,5%,4%,-1%,23%
Copley Farm PV Claypole,0,11.86,12.49,12.93,12.71,12.78,43.4076,45.5885,47.1945,46.5186,46.647,5%,4%,-1%,0%
Greatmoor EFW Calvert,0,951.71,993.3,1039.25,1021.73,803.3,3483.2586,3625.545,3793.2625,3739.5318,2932.045,4%,5%,-1%,-22%
Lodge Farm (Calow) PV,0,4.4,4.58,4.75,4.67,2.1,16.104,16.717,17.3375,17.0922,7.665,4%,4%,-1%,-55%
Arkwright Solar PV,0,122.67,129.28,133.89,131.64,113.85,448.9722,471.872,488.6985,481.8024,415.5525,5%,4%,-1%,-14%
Langar PV Imports,0,3.13,3.26,453.72,3.32,1.22,11.4558,11.899,1656.078,12.1512,4.453,4%,13818%,-99%,-63%
Averill Farm PV,0,13.48,14.2,14.7,14.46,15.12,49.3368,51.83,53.655,52.9236,55.188,5%,4%,-1%,4%
Marchington Solar PV,0,5.05,5.27,5.46,2.8,1.31,18.483,19.2355,19.929,10.248,4.7815,4%,4%,-49%,-53%
Fields Farm Southam PV,0,4.61,4.8,4.98,4.89,2.22,16.8726,17.52,18.177,17.8974,8.103,4%,4%,-2%,-55%
Canopus Farm PV,0,4.5,4.69,4.86,4.78,2.65,16.47,17.1185,17.739,17.4948,9.6725,4%,4%,-1%,-45%
Lindridge Farm PV,0,11.43,12.02,12.45,12.24,2.04,41.8338,43.873,45.4425,44.7984,7.446,5%,4%,-1%,-83%
Wymeswold Narrow Lane PV,0,14.66,15.37,15.92,15.65,11.29,53.6556,56.1005,58.108,57.279,41.2085,5%,4%,-1%,-28%
