Name,RCB,2020_IFC,2021_IFC,2022_IFC,2023_IFC,2024_IFC,2020_AFC,2021_AFC,2022_AFC,2023_AFC,2024_AFC,2021 Importfixed charge Changes (%),2022 Importfixed charge Changes (%),2023 Importfixed charge Changes (%),2024 Importfixed charge Changes (%)
ENVIROPARKS 33kV GEN,-,184.31,166.32,176.29,0,0,674.5746,607.068,643.4585,0,0,-10%,6%,-100%,0%
Wentlog 33kV Biomass,-,565.09,525.11,555.92,615.16,0,2068.2294,1916.6515,2029.108,2251.4856,0,-7%,6%,11%,-100%
Stormy Down PV,0,24.15,22.04,23.38,10.91,12.82,88.389,80.446,85.337,39.9306,46.793,-9%,6%,-53%,17%
Pen Rhiw Caradog PV,0,16.38,13.04,13.86,14.24,16.9,59.9508,47.596,50.589,52.1184,61.685,-21%,6%,3%,18%
Maesgwyn Extension WF,0,23.97,28.43,20.15,20.6,24.36,87.7302,103.7695,73.5475,75.396,88.914,18%,-29%,3%,18%
Corus Trostre,4,0,0,114642.29,71098.93,178848.93,0,0,418444.3585,260222.0838,652798.5945,0%,0%,-38%,151%
ABB Cornelly,0,12.62,10.62,10.4,10.61,15.85,46.1892,38.763,37.96,38.8326,57.8525,-16%,-2%,2%,49%
Bettws,0,13.56,13.87,14.72,14.97,17.64,49.6296,50.6255,53.728,54.7902,64.386,2%,6%,2%,18%
Blaen Bowi,0,9.77,8.61,8.4,8.33,12.81,35.7582,31.4265,30.66,30.4878,46.7565,-12%,-2%,-1%,53%
Mir Steel,3,931.87,915.33,115579.56,19743.91,54969.2,3410.6442,3340.9545,421865.394,72262.7106,200637.58,-2%,12527%,-83%,178%
Boc Margam,4,2413.99,2577.66,117373.28,73822.23,182048.1,8835.2034,9408.459,428412.472,270189.3618,664475.565,6%,4453%,-37%,146%
Ford Bridgend,3,3246.92,3367.24,42879.47,22256.98,57775.46,11883.7272,12290.426,156510.0655,81460.5468,210880.429,3%,1173%,-48%,159%
Alcoa,1,1061.48,670.59,4443.66,1485.07,3139.18,3885.0168,2447.6535,16219.359,5435.3562,11458.007,-37%,563%,-66%,111%
Celsa Rod Mills,3,5745.45,6252.07,45931.65,25567.21,61680.14,21028.347,22820.0555,167650.5225,93575.9886,225132.511,9%,635%,-44%,141%
Interbrew Magor USKM,2,66.19,60.05,16360.61,9493.03,25060.3,242.2554,219.1825,59716.2265,34744.4898,91470.095,-10%,27145%,-42%,163%
