Name,RCB,2020_IFC,2021_IFC,2022_IFC,2023_IFC,2024_IFC,2020_AFC,2021_AFC,2022_AFC,2023_AFC,2024_AFC,2021 Importfixed charge Changes (%),2022 Importfixed charge Changes (%),2023 Importfixed charge Changes (%),2024 Importfixed charge Changes (%)
Puriton Landfill PV_1 Rainbow,0,3.66,3.14,3.3,3.48,3.96,13.3956,11.461,12.045,12.7368,14.454,-14%,5%,6%,13%
Portworthy Dams PV_1,0,12.15,11.06,11.62,12.07,13.67,44.469,40.369,42.413,44.1762,49.8955,-9%,5%,4%,13%
Wick Farm Boundary Import,0,5.75,4.58,4.83,6.06,6.68,21.045,16.717,17.6295,22.1796,24.382,-21%,5%,26%,10%
Batsworthy WF,0,116.86,40.66,118.32,44.04,51.84,427.7076,148.409,431.868,161.1864,189.216,-65%,191%,-63%,17%
Portworthy Dams PV_2,0,12.15,11.06,11.62,12.07,13.67,44.469,40.369,42.413,44.1762,49.8955,-9%,5%,4%,13%
Crewkerne PV shared Imports,0,7.42,14.55,16.89,8.41,9.65,27.1572,53.1075,61.6485,30.7806,35.2225,96%,16%,-50%,14%
Tonedale Farm PV,0,112.88,101.86,107.01,116.39,132.62,413.1408,371.789,390.5865,425.9874,484.063,-10%,5%,9%,14%
Puriton Landfill PV_2 SSB,0,3.66,3.14,3.3,3.48,3.96,13.3956,11.461,12.045,12.7368,14.454,-14%,5%,6%,13%
Red Hill Farm,0,10.61,9.05,9.51,10,11.36,38.8326,33.0325,34.7115,36.6,41.464,-15%,5%,5%,13%
Chelwood,0,12.14,10.64,11.18,11.94,13.73,44.4324,38.836,40.807,43.7004,50.1145,-13%,5%,7%,15%
West Carclaze1,0,2.91,5.1,5.35,5.67,6.5,10.6506,18.615,19.5275,20.7522,23.725,75%,5%,6%,14%
West Carclaze2,0,2.91,2.55,2.68,2.84,3.25,10.6506,9.3075,9.782,10.3944,11.8625,-13%,5%,6%,14%
Northmoor (embd) PV,0,3.26,3.29,3.45,3.5,3.86,11.9316,12.0085,12.5925,12.81,14.089,1%,5%,2%,10%
Nmoor Little Tinney WF,0,1.63,1.64,1.73,1.75,1.93,5.9658,5.986,6.3145,6.405,7.0445,0%,5%,1%,10%
Nmoor East Balsdon WF,0,1.63,1.64,1.73,1.75,1.93,5.9658,5.986,6.3145,6.405,7.0445,0%,5%,1%,10%
Nmoor Hornacott PV,0,3.26,3.29,3.45,3.5,3.86,11.9316,12.0085,12.5925,12.81,14.089,1%,5%,2%,10%
Oakham Farm,0,10.08,8.51,8.95,9.36,10.59,36.8928,31.0615,32.6675,34.2576,38.6535,-16%,5%,5%,13%
Carnemough Farm,0,9,8.14,8.54,9.3,10.82,32.94,29.711,31.171,34.038,39.493,-10%,5%,9%,16%
Ashwater WT Site 1,1,3.21,2.67,2.8,1136.5,2583,11.7486,9.7455,10.22,4159.59,9427.95,-17%,5%,40600%,127%
Makro Exeter,-,38.67,35.14,36.89,40.27,0,141.5322,128.261,134.6485,147.3882,0,-9%,5%,9%,-100%
Great Houndbeare 2,0,30.55,27.32,28.69,31.01,35.93,111.813,99.718,104.7185,113.4966,131.1445,-11%,5%,8%,16%
Withy Drove,0,41.28,37.81,39.68,43.48,50.83,151.0848,138.0065,144.832,159.1368,185.5295,-9%,5%,10%,17%
Fitzwarren (Montys) Farm,0,3.4,3.04,3.19,3.46,4.01,12.444,11.096,11.6435,12.6636,14.6365,-11%,5%,9%,16%
Dunsland Cross WF,0,10.56,8.43,8.88,8.94,9.84,38.6496,30.7695,32.412,32.7204,35.916,-20%,5%,1%,10%
Trerule Farm,0,14.12,12.32,12.94,13.78,15.81,51.6792,44.968,47.231,50.4348,57.7065,-13%,5%,7%,14%
Nancrossa,0,2.42,1.95,2.05,2.08,2.3,8.8572,7.1175,7.4825,7.6128,8.395,-20%,5%,2%,10%
Wick Farm West,0,8.24,6.6,6.95,7.02,7.75,30.1584,24.09,25.3675,25.6932,28.2875,-20%,5%,1%,10%
(LWeston ntw) Severn Community,0,390.42,346.53,363.83,100.14,115.02,1428.9372,1264.8345,1327.9795,366.5124,419.823,-11%,5%,-72%,15%
Tamerton Bridge STOR,0,9.13,7.66,8.05,8.07,11.15,33.4158,27.959,29.3825,29.5362,40.6975,-16%,5%,1%,38%
Ashwater PV Site 2,0,3.21,8.66,9.11,9.47,10.69,11.7486,31.609,33.2515,34.6602,39.0185,169%,5%,4%,13%
Bodwen,0,10.51,9.59,10.07,11.01,12.85,38.4666,35.0035,36.7555,40.2966,46.9025,-9%,5%,10%,16%
Sharland Farm PV,0,25.01,22.1,23.21,24.91,28.73,91.5366,80.665,84.7165,91.1706,104.8645,-12%,5%,8%,15%
Stoneshill Farm,1,219.39,14.01,14.71,1149.85,2598.32,802.9674,51.1365,53.6915,4208.451,9483.868,-94%,5%,7738%,125%
Nmoor Parsonage Wood PV,0,3.26,3.29,3.45,3.5,3.86,11.9316,12.0085,12.5925,12.81,14.089,1%,5%,2%,10%
Axe View Way PV,1,7.95,6.5,6.84,1140.57,2587.5,29.097,23.725,24.966,4174.4862,9444.375,-18%,5%,16621%,126%
Place Barton Farm,0,10.24,8.85,9.31,11.86,13.46,37.4784,32.3025,33.9815,43.4076,49.129,-14%,5%,28%,13%
Old Stone Farm,0,7.57,6.23,6.56,8.78,9.77,27.7062,22.7395,23.944,32.1348,35.6605,-18%,5%,34%,11%
Lockleaze Battery Storage,0,397.62,323.45,340.22,430.3,473.71,1455.2892,1180.5925,1241.803,1574.898,1729.0415,-19%,5%,27%,10%
Imerys1(Blackpool),1,120.88,107.18,4543.82,1404.21,2877.75,442.4208,391.207,16584.943,5139.4086,10503.7875,-12%,4139%,-69%,104%
Otterham WT Feeder1,0,1.71,1.61,1.82,1.73,1.91,6.2586,5.8765,6.643,6.3318,6.9715,-6%,13%,-5%,10%
Otterham WT Feeder2,0,1.71,1.61,1.82,1.73,1.91,6.2586,5.8765,6.643,6.3318,6.9715,-6%,13%,-5%,10%
Wyld Meadow,1,9.03,7.75,8.15,1142.19,2589.51,33.0498,28.2875,29.7475,4180.4154,9451.7115,-14%,5%,13953%,126%
Prince Rock,1,3.15,2.56,2.69,1380.34,2852.15,11.529,9.344,9.8185,5052.0444,10410.3475,-19%,5%,51354%,106%
Bradon Farm,0,49.65,43.13,43.19,45.11,62.29,181.719,157.4245,157.6435,165.1026,227.3585,-13%,0%,5%,38%
Carland Cross,-,3.17,2.53,2.67,1159.23,0,11.6022,9.2345,9.7455,4242.7818,0,-20%,6%,43436%,-100%
Cold Northcott,0,16.53,13.4,14.1,14.21,15.79,60.4998,48.91,51.465,52.0086,57.6335,-19%,5%,1%,11%
Forestmoor 1,0,22.57,17.2,17.29,16.67,21.73,82.6062,62.78,63.1085,61.0122,79.3145,-24%,1%,-3%,30%
Forestmoor 2,0,41.37,31.53,31.7,30.55,39.84,151.4142,115.0845,115.705,111.813,145.416,-24%,1%,-3%,30%
Four Burrows,0,20.22,17.45,18.35,19.43,22.2,74.0052,63.6925,66.9775,71.1138,81.03,-14%,5%,6%,14%
Canworthy PV,0,5.52,5.68,5.97,6.04,6.67,20.2032,20.732,21.7905,22.1064,24.3455,3%,5%,1%,10%
St Breock,0,10.91,9.63,9.87,16.72,19.68,39.9306,35.1495,36.0255,61.1952,71.832,-12%,2%,70%,17%
DML - Central,3,1951.02,1602.74,15402.81,13167.51,43528.92,7140.7332,5850.001,56220.2565,48193.0866,158880.558,-18%,861%,-14%,230%
Denbrook WF,0,30.34,28.22,29.59,32.6,38.26,111.0444,103.003,108.0035,119.316,139.649,-7%,5%,10%,17%
Hayle Wave Hub,1,13.61,11.1,0,1133.59,2579.71,49.8126,40.515,0,4148.9394,9415.9415,-19%,-100%,0%,127%
Marsh Barton,-,6.52,6.4,6.42,6.22,0,23.8632,23.36,23.433,22.7652,0,-2%,0%,-3%,-100%
Connon Bridge,0,17.45,15.27,18.39,16.5,19.72,63.867,55.7355,67.1235,60.39,71.978,-13%,20%,-10%,19%
Chelson,0,20.34,16.51,17.39,17.71,19.67,74.4444,60.2615,63.4735,64.8186,71.7955,-19%,5%,2%,11%
Darracott,0,35.75,29.59,31.13,31.89,35.8,130.845,108.0035,113.6245,116.7174,130.67,-17%,5%,3%,12%
Bears Down,0,2.22,1.89,1.89,1.95,2.67,8.1252,6.8985,6.8985,7.137,9.7455,-15%,0%,3%,37%
St Day,1,36.33,31.94,37.66,1356.27,2834.71,132.9678,116.581,137.459,4963.9482,10346.6915,-12%,18%,3511%,108%
Shooters Bottom,0,13.62,11.5,12.1,12.64,14.3,49.8492,41.975,44.165,46.2624,52.195,-16%,5%,5%,13%
Heathfield,1,28.41,22.81,24.02,1157.87,2606.54,103.9806,83.2565,87.673,4237.8042,9513.871,-20%,5%,4734%,125%
Goonhilly,0,9.63,8.12,8.54,8.91,10.07,35.2458,29.638,31.171,32.6106,36.7555,-16%,5%,5%,13%
Delabole,0,15.43,14.56,15.29,14.12,15.52,56.4738,53.144,55.8085,51.6792,56.648,-6%,5%,-7%,10%
Fullabrook,1,355.75,366.47,383.99,1508.05,2988.63,1302.045,1337.6155,1401.5635,5519.463,10908.4995,3%,5%,294%,98%
Hemerdon Mine,-,580.27,0,0,0,0,2123.7882,0,0,0,0,-100%,0%,0%,0%
Trenoweth Farm,-,3.68,8.81,0,0,0,13.4688,32.1565,0,0,0,139%,-100%,0%,0%
Rolls Royce TT,2,141.29,131.14,13659.98,9436.4,18767.69,517.1214,478.661,49858.927,34537.224,68502.0685,-7%,10316%,-31%,98%
Woodland Barton PV 33kV Gen,0,11.27,9.96,10.46,11.22,12.94,41.2482,36.354,38.179,41.0652,47.231,-12%,5%,8%,15%
Manor PV Farm 33kV,0,5.13,4.41,5.61,4.91,5.41,18.7758,16.0965,20.4765,17.9706,19.7465,-14%,27%,-12%,10%
Churchtown Farm PV 33kV,0,5.19,245.63,311.74,201.91,223.22,18.9954,896.5495,1137.851,738.9906,814.753,4620%,27%,-35%,10%
Trenouth PV 33kV,0,16.63,15.18,17.61,17.44,20.02,60.8658,55.407,64.2765,63.8304,73.073,-9%,16%,-1%,14%
Howton Farm PV 33kV,0,5.05,4.36,5.53,4.86,5.35,18.483,15.914,20.1845,17.7876,19.5275,-14%,27%,-12%,10%
Newton Downs Farm,0,54.35,48.97,51.47,52.65,59.07,198.921,178.7405,187.8655,192.699,215.6055,-10%,5%,3%,12%
BAE Systems (ROF),1,746.98,637.41,5105.15,1808.99,3352.62,2733.9468,2326.5465,18633.7975,6620.9034,12237.063,-15%,701%,-64%,85%
East Langford PV 33kV,0,5.07,4.37,5.55,4.88,5.38,18.5562,15.9505,20.2575,17.8608,19.637,-14%,27%,-12%,10%
NINNIS PV 33kV Gen,0,8.71,7.46,7.84,8.26,9.4,31.8786,27.229,28.616,30.2316,34.31,-15%,5%,6%,13%
Willsland PV 33kV Gen,0,5.47,4.72,5.99,5.26,5.81,20.0202,17.228,21.8635,19.2516,21.2065,-14%,27%,-12%,10%
Eastcombe PV 33kV Gen,0,7.08,6.26,7.64,1140.67,7.96,25.9128,22.849,27.886,4174.8522,29.054,-12%,22%,14871%,-99%
Bratton Flemming PV,0,6.14,4.97,5.24,5.32,5.9,22.4724,18.1405,19.126,19.4712,21.535,-19%,5%,2%,11%
Beaford Brook PV,0,3.72,3.22,4.06,2.68,2.98,13.6152,11.753,14.819,9.8088,10.877,-14%,26%,-34%,11%
Park Wall PV,0,3.59,3.1,3.94,3.45,3.8,13.1394,11.315,14.381,12.627,13.87,-14%,27%,-12%,10%
Bradford Solar Park,0,22.56,21.13,23.51,25.57,29.87,82.5696,77.1245,85.8115,93.5862,109.0255,-7%,11%,9%,16%
Causilgey PV 33kV Gen,0,3.54,2.89,3.04,3.1,3.45,12.9564,10.5485,11.096,11.346,12.5925,-19%,5%,2%,11%
Beechgrove Farm PV 33kV,0,2.24,1.93,2.45,2.15,2.37,8.1984,7.0445,8.9425,7.869,8.6505,-14%,27%,-12%,10%
Isles of Scilly,1,25.9,22.97,59.28,1191.58,2643.57,94.794,83.8405,216.372,4361.1828,9649.0305,-12%,158%,1916%,121%
BLACKDITCH 33kV,0,0.68,0.54,0.57,0.57,0.63,2.4888,1.971,2.0805,2.0862,2.2995,-21%,6%,0%,10%
Avonmouth Docks Boundary,1,1420.95,1415.9,5854.16,2508.11,3480.54,5200.677,5168.035,21367.684,9179.6826,12703.971,-1%,313%,-57%,38%
CERC St Dennis,2,2445.15,2514.24,2634.7,11874.18,21429.15,8949.249,9176.976,9616.655,43459.4988,78216.3975,3%,5%,352%,80%
Severnside Energy Recovery Centre,1,933.29,959.65,1005.69,2116.44,3653.47,3415.8414,3502.7225,3670.7685,7746.1704,13335.1655,3%,5%,111%,72%
Old Green Wind Farm & Battery,0,222.92,229.07,240.87,366.17,404.58,815.8872,836.1055,879.1755,1340.1822,1476.717,2%,5%,52%,10%
Norbora,2,659.72,546.12,14095.9,9880.02,19270.14,2414.5752,1993.338,51450.035,36160.8732,70336.011,-17%,2481%,-30%,95%
SWW Tamar,1,2566.67,2415.93,6966.07,2606.52,3467.75,9394.0122,8818.1445,25426.1555,9539.8632,12657.2875,-6%,188%,-62%,33%
SWW Roadford,1,828.95,661.43,5132.83,1711.18,3214.02,3033.957,2414.2195,18734.8295,6262.9188,11731.173,-20%,676%,-67%,87%
ST Regis,-,2569.33,2275.27,2385.36,0,0,9403.7478,8304.7355,8706.564,0,0,-12%,5%,-100%,0%
Tarmac,1,811.22,687.25,5158.76,1890.46,3437.49,2969.0652,2508.4625,18829.474,6919.0836,12546.8385,-16%,651%,-63%,81%
Abbeywood,2,282.58,262.29,13798.3,9571.71,18916.72,1034.2428,957.3585,50363.795,35032.4586,69046.028,-7%,5161%,-30%,97%
HewlettPackard,1,282.58,262.29,4712.61,1381.87,2853.15,1034.2428,957.3585,17201.0265,5057.6442,10413.9975,-7%,1697%,-71%,106%
Blagdon,1,141.29,131.14,4574.29,1268.9,2728.73,517.1214,478.661,16696.1585,4644.174,9959.8645,-7%,3388%,-72%,114%
BristolAirport,1,282.58,262.29,4712.61,1404.22,2877.76,1034.2428,957.3585,17201.0265,5139.4452,10503.824,-7%,1697%,-70%,104%
BGasHallen,1,975.88,915.68,5351.83,2090.21,3909.56,3571.7208,3342.232,19534.1795,7650.1686,14269.894,-6%,484%,-61%,87%
Portbury Dock,2,780.81,724.74,14286.07,10048.87,19442.23,2857.7646,2645.301,52144.1555,36778.8642,70964.1395,-7%,1871%,-29%,93%
Whatley Quarry,2,70.64,65.57,13590.82,9393.07,18719.41,258.5424,239.3305,49606.493,34378.6362,68325.8465,-7%,20627%,-31%,99%
FalmouthDocks,1,282.58,262.29,4712.61,1404.22,2877.76,1034.2428,957.3585,17201.0265,5139.4452,10503.824,-7%,1697%,-70%,104%
AstraZeneca,-,5157.4,5320.73,10015.11,0,0,18876.084,19420.6645,36555.1515,0,0,3%,88%,-100%,0%
DairyCrestDavidstow,2,2316.31,2604.29,16254.35,12162.12,21766.12,8477.6946,9505.6585,59328.3775,44513.3592,79446.338,12%,524%,-25%,78%
Hemyock (Broadpath LF),1,6.73,6.24,6.59,1140.03,2586.8,24.6318,22.776,24.0535,4172.5098,9441.82,-8%,6%,17247%,126%
Imerys(Torycombe),2,153.93,142.88,13672.36,9448.51,18781.03,563.3838,521.512,49904.114,34581.5466,68550.7595,-7%,9469%,-31%,98%
Royal United Hospital,1,162.33,148.53,4592.62,1286.84,2748.48,594.1278,542.1345,16763.063,4709.8344,10031.952,-9%,2992%,-72%,113%
